ZIP CODE,BOROUGH
11101,QUEENS
10475,BRONX
11207,BROOKLYN
11218,BROOKLYN
11419,QUEENS
11217,BROOKLYN
10011,MANHATTAN
10154,MANHATTAN
11411,QUEENS
10280,MANHATTAN
10457,BRONX
11363,QUEENS
10462,BRONX
10123,MANHATTAN
11374,QUEENS
11001,QUEENS
11412,QUEENS
11365,QUEENS
10032,MANHATTAN
11212,BROOKLYN
10454,BRONX
11221,BROOKLYN
11426,QUEENS
10030,MANHATTAN
10271,MANHATTAN
10152,MANHATTAN
10075,MANHATTAN
10155,MANHATTAN
10310,STATEN ISLAND
11433,QUEENS
11421,QUEENS
11421,BROOKLYN
10302,STATEN ISLAND
10153,MANHATTAN
10035,MANHATTAN
10036,MANHATTAN
11229,BROOKLYN
10303,STATEN ISLAND
11373,QUEENS
11415,QUEENS
11237,BROOKLYN
10168,MANHATTAN
11361,QUEENS
10002,MANHATTAN
11226,BROOKLYN
11105,QUEENS
10309,STATEN ISLAND
11005,QUEENS
10465,BRONX
10452,BRONX
10024,MANHATTAN
10167,MANHATTAN
10461,BRONX
10158,MANHATTAN
11109,QUEENS
11435,QUEENS
11416,QUEENS
11241,BROOKLYN
11695,QUEENS
10471,BRONX
11430,QUEENS
11204,BROOKLYN
10463,BRONX
10306,STATEN ISLAND
11358,QUEENS
10308,STATEN ISLAND
11691,QUEENS
10026,MANHATTAN
11040,QUEENS
11420,QUEENS
11354,QUEENS
11242,BROOKLYN
11378,QUEENS
11249,BROOKLYN
11251,BROOKLYN
10003,MANHATTAN
11697,QUEENS
10128,MANHATTAN
11219,BROOKLYN
11104,QUEENS
10016,MANHATTAN
11216,BROOKLYN
10281,MANHATTAN
11225,BROOKLYN
10173,MANHATTAN
10013,MANHATTAN
10034,MANHATTAN
10065,MANHATTAN
11385,QUEENS
10040,MANHATTAN
10017,MANHATTAN
10282,MANHATTAN
11211,BROOKLYN
10169,MANHATTAN
10305,STATEN ISLAND
10464,BRONX
11360,QUEENS
10460,BRONX
11357,QUEENS
10028,MANHATTAN
11224,BROOKLYN
11209,BROOKLYN
11692,QUEENS
10473,BRONX
11102,QUEENS
11210,BROOKLYN
10106,MANHATTAN
11206,BROOKLYN
11423,QUEENS
10037,MANHATTAN
10178,MANHATTAN
10018,MANHATTAN
11355,QUEENS
10171,MANHATTAN
11356,QUEENS
10177,MANHATTAN
10179,MANHATTAN
10176,MANHATTAN
10118,MANHATTAN
10001,MANHATTAN
10048,MANHATTAN
11369,QUEENS
10165,MANHATTAN
10456,BRONX
11428,QUEENS
11429,QUEENS
10103,MANHATTAN
11362,QUEENS
11228,BROOKLYN
11375,QUEENS
11237,QUEENS
10458,BRONX
10069,MANHATTAN
10010,MANHATTAN
11413,QUEENS
10120,MANHATTAN
11372,QUEENS
10472,BRONX
10027,MANHATTAN
10023,MANHATTAN
11367,QUEENS
11434,QUEENS
11236,BROOKLYN
11366,QUEENS
11208,QUEENS
11215,BROOKLYN
10009,MANHATTAN
10038,MANHATTAN
11385,BROOKLYN
11235,BROOKLYN
10470,BRONX
11232,BROOKLYN
10007,MANHATTAN
10107,MANHATTAN
11205,BROOKLYN
10025,MANHATTAN
11418,QUEENS
10119,MANHATTAN
11238,BROOKLYN
10172,MANHATTAN
11414,QUEENS
10041,MANHATTAN
10105,MANHATTAN
11233,BROOKLYN
10031,MANHATTAN
10111,MANHATTAN
10469,BRONX
10006,MANHATTAN
10055,MANHATTAN
10019,MANHATTAN
11693,QUEENS
11103,QUEENS
11231,BROOKLYN
10307,STATEN ISLAND
10455,BRONX
11239,BROOKLYN
10474,BRONX
11222,BROOKLYN
11214,BROOKLYN
10039,MANHATTAN
10000,MANHATTAN
10151,MANHATTAN
11223,BROOKLYN
11436,QUEENS
11379,QUEENS
10122,MANHATTAN
11370,QUEENS
10466,BRONX
10304,STATEN ISLAND
10004,MANHATTAN
10029,MANHATTAN
10301,STATEN ISLAND
11203,BROOKLYN
11364,QUEENS
10459,BRONX
10045,MANHATTAN
10022,MANHATTAN
11234,BROOKLYN
11427,QUEENS
11377,QUEENS
11694,QUEENS
10014,MANHATTAN
11208,BROOKLYN
11004,QUEENS
11422,QUEENS
11417,QUEENS
10110,MANHATTAN
11201,BROOKLYN
11213,BROOKLYN
10012,MANHATTAN
10121,MANHATTAN
10112,MANHATTAN
10170,MANHATTAN
11106,QUEENS
10005,MANHATTAN
10803,BRONX
11220,BROOKLYN
10115,MANHATTAN
11359,QUEENS
10174,MANHATTAN
10166,MANHATTAN
10033,MANHATTAN
10020,MANHATTAN
11230,BROOKLYN
10021,MANHATTAN
10451,BRONX
11368,QUEENS
10314,STATEN ISLAND
10468,BRONX
10278,MANHATTAN
10453,BRONX
11432,QUEENS
10467,BRONX
10312,STATEN ISLAND
10279,MANHATTAN
